Title,Year,Director,Studio,Genre
Abhay,2001,Suresh Krissna,,Thriller
Aamdani Atthanni Kharcha Rupaiya,2001,K. Raghavendra Rao,,"Family,Drama"
Aashiq,2001,Indra Kumar,,"Action,Comedy"
Ajnabee,2001,Abbas Mustan,,"Thriller, Suspense, Crime"
Aks,2001,Rakeysh Omprakash Mehra,,"Thriller, Horror"
Albela,2001,Deepak Sareen,,Romance
Aśoka,2001,Santosh Sivan,,History
Bas Itna Sa Khwaab Hai,2001,Goldie Behl,,"Drama, Romance, Thriller"
Be-Lagaam,2001,Ram Lakhan,,Action
Bengal Tiger,2001,Adarsh Jain,,Action
Bhairav,2001,T. L. V. Prasad,,Action
Censor,2001,Dev Anand,,Drama
Chandni Bar,2001,Madhur Bhandarkar,,Drama
Chhupa Rustam: A Musical Thriller,2001,Aziz Sejawal,,Thriller
Chori Chori Chupke Chupke,2001,Abbas Mustan,,"Drama, Romance, Musical"
Daman,2001,Kalpana Lajmi,,Drama
Dattak,2001,Gul Bahar Singh,,Drama
Deewaanapan,2001,Ashu Trikha,,"Drama, Romance"
Dil Chahta Hai,2001,Farhan Akhtar,,"Drama, Comedy, Romance, Musical"
Dil Ne Phir Yaad Kiya,2001,C. L. Rawal,,Romance
Ehsaas: The Feeling,2001,Mahesh Manjrekar,,Drama
Ek Rishtaa: The Bond of Love,2001,Suneel Darshan,,"Family,Drama"
Farz,2001,Raj Kanwar,,"Action, Romance"
Gadar: Ek Prem Katha,2001,Anil Sharma,,"Drama, War, Romance, Action"
Grahan,2001,Shashilal K. Nair,,Romance
Hadh: Life on the Edge of Death,2001,Thampi Kannanthanam,,"Action,Crime, Drama"
Hum Ho Gaye Aapke,2001,Agathiyan,,Romance
Indian,2001,N. Maharajan,,Action
Ittefaq,2001,Sanjay Khanna,,"Action, Drama, Thriller"
Jodi No.1,2001,David Dhawan,,Comedy
Kabhi Khushi Kabhie Gham...,2001,Karan Johar,,"Drama, Romance, Family"
Kasam,2001,Shibu Mitra,,Action
Kasoor,2001,Vikram Bhatt,,Thriller
Kuch Khatti Kuch Meethi,2001,Rahul Rawail,,"Comedy, Drama"
Kyo Kii Main Jhuth Nahin Bolta,2001,David Dhawan,,"Comedy, Romance"
Lagaan: Once Upon a Time in India,2001,Ashutosh Gowariker,,"Drama, Musical "
